Unnamed: 0,pChEMBL Value,Canonical,Predict_ann,Proba_ann,Predict_ml,Proba_ml,Predict_GNN,Proba_gnn,Proba_3_model,Predict_3_model,AD
1875,,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@H]1N(C2)CC3O,0,18.08,1,93.19545,0,38.127995,49.80114685058593,1,In
1890,,C=C[C@@]1(C)CC2CC[C@]3(C)C(C)=CC(=O)CC3[C@]2(C)C[C@@H]1O,0,1.03,1,54.405605,0,49.676678,35.03742767333984,1,Out
1896,,COc1cc2c(cc1O)[C@@]1(Cc3ccc(OC)c(OC)c3)CCC(=O)N1CC2,0,4.98,0,18.10387,0,4.1253333,9.069734725952149,0,In
1915,,COc1ccc(N(CN2C(=O)CCC2C(=O)O)C(C)=O)cc1,0,5.45,0,40.7379,0,4.6009994,16.929632568359377,0,In
1928,,COc1cc(C2SCC(=O)N2c2ccc(Cl)cc2)cc(OC)c1OC,0,37.15,1,94.426,1,55.08367,62.21989135742188,2,In
1932,6.74,COc1cc2c3c(c4ccc(O)cc4c2cc1OC)CN1CCCC[C@H]1C3,0,1.7,0,14.102777,0,2.8549998,6.21925900777181,0,In
1941,,SC1=NNC2(C(Cl)=N1)c1ccccc1-c1ccccc12,1,79.0,1,88.26035,0,14.207998,60.48945109049479,2,In
1945,,c1ccc2c(c1)C1CCCCCC21N1CCOCC1,1,78.87,1,85.92786,1,73.006004,79.26795613606771,3,In
1958,,COc1ccc(C2COc3c(ccc(O)c3C)C2)cc1OC,0,7.67,0,25.080109,0,0.901,11.217036539713542,0,In
1971,,CO[C@@]1(C(C)C)C=C2C(=O)C[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,0,2.26,0,43.610275,0,12.582667,19.48431452433268,0,Out
1976,,Nc1ncnc2c1N=C(c1ccc3c(c1)OCO3)CC(c1ccc(Cl)cc1)N2,1,74.58,0,37.973118,0,21.522999,44.69203887939453,1,In
